iter	Passed	Remaining
174	1241	5853
175	1249	5849
176	1256	5842
177	1263	5836
178	1271	5833
179	1278	5825
180	1286	5819
181	1293	5813
182	1302	5813
183	1309	5806
184	1316	5800
185	1323	5790
186	1329	5780
187	1335	5769
188	1342	5762
189	1349	5753
190	1357	5748
191	1364	5744
192	1371	5734
193	1378	5727
194	1385	5718
195	1392	5713
196	1399	5704
197	1407	5700
198	1415	5697
199	1421	5686
200	1430	5685
201	1437	5677
202	1444	5672
203	1452	5668
204	1460	5662
205	1469	5662
206	1474	5649
207	1484	5653
208	1493	5653
209	1500	5644
210	1507	5635
211	1514	5630
212	1523	5629
213	1531	5626
214	1539	5619
215	1545	5608
216	1552	5601
217	1559	5592
218	1565	5584
219	1573	5577
220	1579	5569
221	1586	5559
222	1592	5548
223	1599	5541
224	1607	5535
225	1613	5527
226	1621	5520
227	1627	5511
228	1634	5501
229	1640	5492
230	1647	5484
231	1654	5476
232	1661	5469
233	1667	5458
234	1675	5453
235	1681	5443
236	1689	5438
237	1696	5432
238	1703	5425
239	1710	5417
240	1717	5408
241	1725	5405
242	1734	5402
243	1741	5396
244	1748	5387
245	1754	5377
246	1760	5367
247	1767	5358
248	1774	5350
249	1781	5343
250	1789	5339
251	1795	5330
252	1802	5322
253	1809	5314
254	1817	5309
255	1823	5300
256	1830	5291
257	1837	5285
258	1845	5279
259	1852	5271
260	1859	5266
261	1867	5261
262	1873	5250
263	1880	5242
264	1887	5234
265	1893	5226
266	1900	5217
267	1906	5207
268	1912	5197
269	1920	5191
270	1928	5188
271	1935	5180
272	1941	5171
273	1948	5163
274	1955	5155
275	1961	5146
276	1968	5137
277	1976	5133
278	1984	5128
279	1991	5120
280	1998	5113
281	2005	5107
282	2012	5099
283	2018	5090
284	2026	5084
285	2033	5077
286	2040	5068
287	2046	5059
288	2053	5051
289	2060	5043
290	2066	5035
291	2073	5026
292	2080	5020
293	2087	5013
294	2094	5006
295	2100	4996
296	2106	4985
297	2115	4982
298	2121	4974
299	2129	4968
300	2137	4963
301	2143	4954
302	2150	4946
303	2156	4938
304	2163	4930
305	2172	4926
306	2180	4921
307	2187	4914
308	2195	4909
309	2202	4901
310	2209	4893
311	2216	4887
312	2224	4882
313	2231	4875
314	2240	4871
315	2247	4864
316	2254	4858
317	2262	4851
318	2268	4842
319	2275	4836
320	2282	4828
321	2290	4822
322	2297	4816
323	2305	4811
324	2312	4803
325	2321	4798
326	2328	4792
327	2337	4788
328	2343	4780
329	2351	4774
330	2359	4769
331	2368	4765
332	2375	4758
333	2384	4754
334	2392	4749
335	2399	4741
336	2407	4735
337	2415	4730
338	2422	4723
339	2429	4716
340	2436	4709
341	2444	4702
342	2450	4692
343	2458	4688
344	2465	4681
345	2473	4674
346	2482	4671
347	2489	4663
348	2498	4660
349	2506	4655
350	2514	4649
351	2520	4640
352	2528	4634
353	2537	4629
354	2545	4624
355	2552	4617
356	2560	4611
357	2567	4605
358	2575	4598
359	2582	4591
360	2590	4585
361	2598	4579
362	2605	4571
363	2612	4565
364	2620	4559
365	2627	4552
366	2634	4544
367	2641	4537
368	2649	4531
369	2658	4527
370	2666	4520
371	2672	4511
372	2681	4506
373	2687	4498
374	2695	4493
375	2702	4485
376	2710	4479
377	2717	4471
378	2723	4462
379	2730	4455
380	2738	4448
381	2746	4443
382	2753	4436
383	2762	4430
384	2769	4423
385	2777	4418
386	2784	4410
387	2793	4405
388	2800	4397
389	2808	4392
390	2815	4384
391	2823	4378
392	2831	4372
393	2839	4366
394	2847	4361
395	2855	4355
396	2863	4348
397	2870	4342
398	2877	4334
399	2884	4326
400	2890	4317
401	2896	4308
402	2903	4301
403	2910	4293
404	2917	4286
405	2923	4277
406	2930	4270
407	2937	4261
408	2943	4253
409	2950	4245
410	2957	4238
411	2963	4229
412	2972	4224
413	2980	4218
414	2988	4212
415	2995	4204
